Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Blake Walston","ARI",0,0,0,3,2,12.2,7.8157904544366605,6.394737644539085,0,0.2727272727272727,0.80952381,0.393939393,0,91.52384114583333,2.842105619795149,3.94,4.267835871202481,6.061507225059792,0.07064288482069969,"Blake Walston",26270,686796
"Jeffrey Springs","TBR",1,1,0,4,4,18.2,10.125000344855456,2.410714367822728,1.9285714942581822,0.34615384615384615,0.89285714,0.345454545,0.173913043,90.06654881386861,3.8571429885163644,3.51,4.662572625705176,3.7431304117162854,0.06853275746107101,"Jeffrey Springs",17677,605488
"Scott Alexander","OAK",1,2,0,34,0,28.2,6.279071577824671,3.1395357889123354,0.6279071577824671,0.24390243902439024,0.80128205,0.585365853,0.1,,2.5116286311298683,4.58,3.9300146563496052,4.079774434314199,0.06069178879261017,"Scott Alexander",10591,518397
"Easton Lucas","- - -",1,0,0,6,0,7,10.28571568703184,6.4285723043948995,0,0.44,0.47058824,0.36,0,94.69851574265813,10.28571568703184,4.34,3.4482868992552524,5.612080936705503,0.05274576786905527,"Easton Lucas",26058,687922
"Joe La Sorsa","WSN",0,0,0,2,0,2,9,0,0,0.2,1,0.4,0,,0,1.15,1.1625725746154787,2.677228194475174,0.050794877111911774,"Joe La Sorsa",25481,686747
"Nick Vespi","BAL",0,0,0,10,0,11.1,5.55882368533257,1.5882353386664485,0.7941176693332243,0.2571428571428571,0.75471698,0.444444444,0.083333333,89.4605589448736,3.176470677332897,4.02,3.603749057578381,4.060443256122103,0.04039860889315605,"Nick Vespi",21093,663989
"Josh Walker","NYM",0,0,0,10,0,12.1,8.027028475302602,4.378379168346874,0.7297298613911456,0.32432432432432434,0.68181818,0.47368421,0.071428571,94.42600866866438,5.108109029738019,4.22,3.8923024360066245,4.557587313719136,0.038470130413770676,"Josh Walker",23617,677020
"Robbie Ray","SFG",3,2,0,6,6,27.2,12.686748154122975,3.9036148166532234,1.9518074083266117,0.24074074074074073,0.76086957,0.288135593,0.1875,94.3279702240566,4.8795185208165295,3.64,5.005946238035056,3.938559868914804,0.0358242429792881,"Robbie Ray",11486,592662
"Nick Pratto","KCR",0,0,0,1,0,1,9,0,0,0.3333333333333333,1,0.333333333,0,78.68641764322916,0,2.38,1.1625725746154787,2.677228194475174,0.029680095613002777,"Nick Pratto",22117,668472
"Austin Davis","SDP",0,0,0,7,0,7,7.714286765273879,6.4285723043948995,0,0.3,0.38461538,0.47368421,0,,9.00000122615286,3.77,4.4482870354944595,5.746563457964609,0.028212230652570724,"Austin Davis",17117,656354
"Caleb Ferguson","- - -",1,4,1,49,0,40.1,10.93388826164419,4.462811535364976,1.3388434606094928,0.3302752293577982,0.64748201,0.486956521,0.171428571,93.8532899368641,4.909092688901473,4.4,4.303068855875416,3.683554912964668,0.02688666945323348,"Caleb Ferguson",19349,657571
"Dylan Dodd","ATL",0,0,0,1,0,2,9,4.5,0,0.6666666666666666,0.6,0.5,0,93.49198695591518,9,3.83,2.6625725746154787,3.4199003845453264,0.02509962022304535,"Dylan Dodd",29928,689266
"Anthony Veneziano","KCR",0,0,0,2,0,2,9,4.5,0,0.5,0.6,0.5,0,94.55373313210227,4.5,3.51,2.6625725746154787,4.177228194475174,0.020739806815981865,"Anthony Veneziano",27453,685107
"Austin Kitchen","MIA",0,0,0,1,0,2,9,4.5,0,0.5,0.5,0.555555555,0,89.70374552408855,13.5,4.77,2.6625725746154787,3.4199003845453264,0.0194620992988348,"Austin Kitchen",27910,685116
"Chasen Shreve","COL",0,0,0,1,0,1,0,0,0,0.25,1,1,0,89.29976399739583,0,6.81,3.1625725746154787,3.1625725746154787,0.015445636585354805,"Chasen Shreve",10855,592741
"Josh Maciejewski","NYY",0,0,0,4,0,7,9,2.5714285714285716,1.2857142857142858,0.17647058823529413,0.86956522,0.555555555,0.25,90.75949928977273,2.5714285714285716,3.83,3.876858288901193,2.885232928821019,0.014542723074555397,"Josh Maciejewski",21310,656671
"Jose Quintana","NYM",6,9,0,25,25,134,7.119402985074627,3.4925373134328357,1.4776119402985075,0.2661498708010336,0.75699746,0.439205955,0.146666666,90.67139075413223,4.567164179104478,4.96,5.125259141779658,4.686440805801705,0.013585193082690239,"Jose Quintana",11423,500779
"Sammy Peralta","CHW",0,0,0,7,0,10.2,6.750001005828531,5.062500754371398,0.8437501257285663,0.39473684210526316,0.77669903,0.384615384,0.083333333,,5.062500754371398,8.83,4.56882278416309,5.05406042881129,0.008441714569926262,"Sammy Peralta",25589,671111
"Tyler Jay","- - -",0,0,0,5,0,7.2,7.043478844972598,7.043478844972598,0,0.375,0.66666667,0.652173913,0,92.10421316964286,4.695652563315065,3.61,3.9451813351679896,5.130564092490281,0.006247778161196038,"Tyler Jay",17952,664079
"Nick Ramirez","LAD",0,0,0,7,0,11.1,3.176470677332897,5.55882368533257,0,0.34146341463414637,0.61904762,0.536585365,0,90.38600158691406,6.352941354665794,7.71,4.309631430319024,5.9133844845662935,0.006220381241291761,"Nick Ramirez",12575,598286
"Kirby Snead","SEA",0,0,0,11,0,10.1,6.096775506463468,6.096775506463468,0,0.35294117647058826,0.73684211,0.515151515,0,92.67459810697116,4.354839647473906,4.61,3.8399920753336416,5.3057881521412344,0.0034721975680440664,"Kirby Snead",19179,669912
"Amir Garrett","LAA",0,0,0,6,0,5.1,18.56250442564593,8.43750201165724,1.6875004023314482,0.42857142857142855,0.78947368,0.25,0.166666666,95.73661081414474,5.0625012069943445,3.49,4.287572842836444,3.554060240295569,0.00239673163741827,"Amir Garrett",14375,607237
"Dominic Smith","BOS",0,0,0,3,0,3,0,3,0,0.2,1,0.2,0,48.58243630149148,0,1.82,4.16257257461548,7.1918838143348705,0.0005491212359629571,"Dominic Smith",15653,642086
"Anthony Misiewicz","NYY",0,0,0,1,0,1,9,9,0,0.5,1,0.25,0,93.57049560546875,0,9.1,4.162572574615479,7.19188381433487,-0.00115420192014426,"Anthony Misiewicz",18152,664948
"Raymond Burgos","SFG",0,0,0,1,0,1,9,9,0,0.6,0.75,0.8,0,92.8377685546875,9,2.1,4.162572574615479,5.677228194475174,-0.0014617150882259011,"Raymond Burgos",22370,670103
