Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Geoff Hartlieb","COL",0,0,0,5,0,9,7.000000741746769,4.000000423855297,1.0000001059638242,0.375,0.44871795,0.40625,0.083333333,97.25115356445312,9.000000953674418,5.81,4.384794926349041,4.959891369323603,0.0025963184889405966,"Geoff Hartlieb",19558,664129
"Zac Kristofak","LAA",0,0,0,1,0,2,9,9,0,0.42857142857142855,0.6,0.571428571,0,93.24364516314338,0,6.35,4.162572574615479,4.919900384545326,0.002042221138253808,"Zac Kristofak",27585,670219
"Orlando Ribalta","WSN",0,0,0,2,0,2,9.00000429153647,4.500002145768235,0,0.5555555555555556,0.57142857,0.333333333,0,95.64126953125,13.500006437304705,7.52,4.162573051452864,5.677229393556986,0.000447168480604887,"Orlando Ribalta",26247,687377
"Dylan Coleman","HOU",0,0,0,1,0,1,9,9,0,0,1,0.5,0,94.79739379882812,0,2.04,4.162572574615479,5.677228194475174,0.00027482694713398814,"Dylan Coleman",22276,669395
"Chad Green","TOR",3,3,13,40,0,40.2,7.524591340329427,2.4344266101065792,1.3278690600581342,0.18627450980392157,0.97902098,0.361111111,0.105263157,95.39554625984252,1.7704920800775121,3.94,4.293720292442778,4.498688447405608,-0.000962468737270683,"Chad Green",15552,643338
"Hayden Wesneski","CHC",3,6,0,25,7,61.2,8.464865999410042,3.0648652756484633,1.6054056205777665,0.24561403508771928,0.67656766,0.44198895,0.152777777,94.73332372780055,3.9405410686908815,4.43,4.719329540024222,4.168873325109841,-0.00112190842628479,"Hayden Wesneski",27581,669713
"Troy Taylor","SEA",0,0,0,5,0,4.1,10.384616146426286,2.076923229285257,2.076923229285257,0.1,1,0.363636363,0.2,96.7923251065341,2.076923229285257,3.96,4.5471880608056505,3.294867530312535,-0.0016756869154050946,"Troy Taylor",31883,700187
"Keaton Winn","SFG",3,8,0,12,12,55.1,7.807229095073588,3.253012122947328,1.4638554553262977,0.29936305732484075,0.53412463,0.5,0.183673469,96.17301872184684,7.156626670484122,5.59,4.8432955048049315,4.07012907811806,-0.0018013041699305177,"Keaton Winn",23499,676775
"Luke Williams","ATL",0,0,0,3,0,4,0,2.25,0,0.29411764705882354,0.71428571,0.294117647,0,59.373046875,4.5,6.85,4.662572574615479,6.934556004405022,-0.0026409425772726536,"Luke Williams",19931,663897
"Michael Soroka","CHW",0,10,0,22,9,72.1,8.834102003676032,5.225806819075963,1.6175116344758933,0.265625,0.66079295,0.41,0.156626506,93.40090170070638,5.225806819075963,5,5.402204068505178,4.8038134704146165,-0.002827376127243042,"Michael Soroka",18383,647336
"Shaun Anderson","- - -",0,2,0,5,2,14,5.785714679834821,0.6428571866483135,1.9285715599449402,0.45161290322580644,0.48611111,0.328125,0.12,91.2579082782452,9.642857799724702,7.48,5.091144134560419,5.010172021651231,-0.0039003081619739532,"Shaun Anderson",19453,641312
"Ryan Loutos","STL",0,0,0,3,0,2.1,0,3.8571433826369397,0,0.2222222222222222,1,0.444444444,0,94.27110531455592,0,1.65,4.448287035494459,7.693978091669835,-0.005833273753523827,"Ryan Loutos",29521,702795
"Riley O'Brien","STL",0,0,0,1,0,1,18,18,0,0.5,0.66666667,0,0,96.46250406901042,9,6.68,5.162572574615479,6.677228194475174,-0.006183402147144079,"Riley O'Brien",20348,676617
"Jacob Waguespack","TBR",0,0,0,4,1,10,9.9,9,0.9,0.41379310344827586,0.74074074,0.5,0.125,94.10535803506541,5.4,6.85,5.262572574615479,5.1742970705032345,-0.006679125130176544,"Jacob Waguespack",18318,621097
"Austin Hedges","CLE",0,0,0,1,0,2,0,4.5,0,0,1,0.4,0,64.86635131835938,0,19.23,4.662572574615479,6.177228194475174,-0.007151858881115913,"Austin Hedges",12976,595978
"Ryder Ryan","PIT",1,0,0,15,0,20.2,7.40322671745383,3.9193553210049688,0.8709678491122153,0.3064516129032258,0.62913907,0.370967741,0.068965517,94.21875,5.661291019229399,5.55,4.517411451012259,5.384750895287554,-0.008161507546901703,"Ryder Ryan",19891,656924
"Cole Tucker","LAA",0,0,0,1,0,1,0,9,0,0.3333333333333333,1,1,0,52.33751220703125,0,4.74,6.162572574615479,6.162572574615479,-0.010324319824576378,"Cole Tucker",17326,657061
"Pablo Reyes","BOS",0,0,0,1,0,1,0,9,0,0.25,1,0.25,0,71.81034851074219,0,8.15,6.162572574615479,9.191883814334869,-0.010925045236945152,"Pablo Reyes",16357,622569
"Ron Marinaccio","NYY",1,0,0,14,0,21.1,9.281250553205643,3.796875226311399,1.265625075437133,0.2,0.86538462,0.392156862,0.15,93.46238823157515,2.531250150874266,3.96,4.6156976612284835,4.207562280520183,-0.011040858924388885,"Ron Marinaccio",23488,676760
"James Meeker","MIL",0,0,0,1,0,1,0,9,0,0.3333333333333333,1,0.666666666,0,92.19002532958984,0,10.46,6.162572574615479,6.162572574615479,-0.011051102541387081,"James Meeker",29891,703231
"Owen White","TEX",0,0,0,2,0,1,0,9,0,0.75,0.14285714,0.375,0,94.24082318474265,54,8.94,6.162572574615479,7.677228194475174,-0.011224742978811264,"Owen White",22273,669391
"David Bote","CHC",0,0,0,1,0,1,0,9,0,0.25,1,0.5,0,66.9098388671875,0,8.67,6.162572574615479,9.191883814334869,-0.012004435993731022,"David Bote",14593,623520
"Andrew Knizner","TEX",0,0,0,2,0,3,0,6.000001907349239,0,0.1111111111111111,1,0.444444444,0,48.102559407552086,0,4.61,5.162573210398558,6.172343944635827,-0.014909656718373299,"Andrew Knizner",19514,668800
